;question	answer	card_export_column__field_a	card_export_column__field_b	card_export_column__field_c	tags	c_Added	c_LatestReview	c_Due	c_Interval_in_Days	c_Ease	c_Reviews	c_Lapses	c_CardType	c_NoteType	c_Deck	c_NoteID	c_CardID	allrevs
;問題	答案
猶豫未決	猶「猶豫不決」。見「猶豫不決」條。01.《舊唐書．卷五七．裴寂列傳》：「高祖將先定京師，議者恐通（人名，指屈突通）為後患，猶豫未決。」02.《三國演義》第一六回：「陳珪又說呂布，使解韓胤赴許都。布猶豫未決。」
利鎖名牽	牽，通「縴」，拉船的繩索。「利鎖名牽」猶「名韁利鎖」。見「名韁利鎖」條。01.明．高濂《玉簪記》第二二齣：「眼底天涯，利鎖名牽。」
兵無血刃	即「兵不血刃」。見「兵不血刃」條。01.《北史．卷一○○．序傳》：「昭王以緯世之量，為群雄所奉，兵無血刃，遂啟霸業，乃修敦煌舊塞。」02.唐．陳子昂〈燕然軍人畫像銘并序〉：「則使元惡授首，群甿不孤，兵無血刃，荒戎底定，豈不在於大雄乎？」
返老歸童	即「返老還童」。見「返老還童」條。01.宋．張君房《雲笈七籤．卷六九．七返靈砂論》：「第二返砂，服之一兩，即體和神清，返老歸童。」
猶魚得水	猶「如魚得水」。見「如魚得水」(二)。01.晉．常璩《華陽國志．卷六．劉先主志》：「與亮情好日密，自以為猶魚得水也。」
作福作威	猶「作威作福」。見「作威作福」條。
坐而待斃	猶「坐以待斃」。見「坐以待斃」條。01.《資治通鑒．卷二八八．後漢紀三．隱帝乾祐二年》：「今國家三道用兵，俱未有功，若以此時翻然改圖，朝廷必喜，自可不失富貴。孰與坐而待斃乎！」02.《三國演義》第六七回：「今若不出，坐而待斃矣。某守城，主公當親與決一死戰。」
忘年之好	猶「忘年之交」。見「忘年之交」條。01.《宋書．卷六二．張敷列傳》：「賢弟子少履貞規，長懷理要，清風素氣，得之天然。言面以來，便申忘年之好，比雖艱隔成阻，而情問無睽。」
良莠不一	猶「良莠不齊」。見「良莠不齊」條。01.《清史稿．卷二八四．覺羅滿保列傳》：「閩、浙兩省棚民，以種麻靛、造紙、燒灰為業，良莠不一。」
良莠淆雜	猶「良莠不齊」。見「良莠不齊」條。01.《清史稿．卷二六七．蕭永藻列傳》：「開山發礦，多人群聚，良莠淆雜，臣通飭嚴禁。」
忘恩失義	猶「忘恩負義」。見「忘恩負義」條。01.《三國演義》第七二回：「操揚鞭大罵曰：『劉備！忘恩失義、反叛朝廷之賊！』」02.明．無名氏《南牢記》第一折：「徐官人，我今日與你相交，休忘恩失義，也不敢負德辜恩也。」
忘恩背義	猶「忘恩負義」。見「忘恩負義」條。01.宋．趙善&c07518.jpg;《自警篇．卷六八．器量》：「凡人語及其所不平則氣必動，色必變，辭必厲，唯韓魏公不然。更說到小人忘恩背義，欲傾己處，辭和氣平，如道尋常事。」02.《水滸傳》第一一回：「哥哥若不收留，柴大官人知道時見怪，顯的我們忘恩背義。」
沐猴衣冠	猶「沐猴而冠」。見「沐猴而冠」條。01.明．無名氏《十探子》第二折：「你這等人，乃沐猴衣冠之輩，馬牛襟裾之材。」
瀝血叩心	比喻費盡心血，極盡辛勞。「瀝血」之源見「嘔心瀝血」條。01.南朝梁．元帝〈與諸藩令〉：「一丸之土可封函谷，半紙之翰能下聊城。而不以富貴為榮，不以妻孥為念。瀝血叩心，枕戈嘗膽，其何故哉？」（源）
滄桑之變	猶「滄海桑田」。見「滄海桑田」條。01.清．東海松柏心道人〈續夷堅志序〉：「有金元遺山先生，具班、馬之才，閱滄桑之變，隱居不仕，著述自娛。凡四方碑版銘章，靡不奔走其門。」
沐猴冠冕	猶「沐猴而冠」。見「沐猴而冠」條。01.元．石君寶《秋胡戲妻》第三折：「豈不聞財上分明大丈夫，不由喒生嗔怒，我罵你個沐猴冠冕，牛馬襟裾。」
應規蹈矩	即「循規蹈矩」。見「循規蹈矩」條。01.《隋書．卷一四．音樂志中》：「齊之以禮，相趨帝庭，應規蹈矩，玉色金聲。」（源）
補殘守缺	猶「抱殘守缺」。見「抱殘守缺」條。01.漢．荀悅《前漢紀．卷二九．孝哀皇帝紀》：「至於國家大事，則幽冥莫知其原，然猶補殘守缺，挾恐見破之私意，而忘從善服義之公心。」
應權通變	即「通權達變」。見「通權達變」條。01.《三國志．卷三二．蜀書．先主傳二》：「宗廟傾危，社稷將墜，成臣憂責碎首之負。若應權通變，以寧靖聖朝，雖赴水火，所不得辭。」（源）
言從計行	猶「言聽計從」。見「言聽計從」條。01.《新唐書．卷一八○．李德裕列傳》：「武宗知而能任之，言從計行，是時王室幾中興。」02.宋．洪邁《容齋五筆．卷二．李德裕論命令》：「李德裕相武宗，言從計行。」
言聽計行	猶「言聽計從」。見「言聽計從」條。01.《新唐書．卷一二六．魏知古等列傳》：「贊曰：『……觀玄宗開元時，厲精求治，元老魁舊，動所尊憚，故姚元崇、宋璟言聽計行，力不難而功已成。』」
改張易調	猶「改弦更張」。見「改弦更張」條。01.《魏書．卷六六．崔亮列傳》：「而舅屬當銓衡，宜須改張易調。」
臥鼓偃旗	猶「偃旗息鼓」。見「偃旗息鼓」條。01.《周書．卷一八．王思政列傳》：「東魏太尉高嶽、行臺慕容紹宗、儀同劉豐生等，率步騎十萬來攻潁川。城內臥鼓偃旗，若無人者。」
言類懸河	即「口若懸河」。見「口若懸河」條。01.《南齊書．卷三三．王僧虔列傳》引南朝齊．王僧虔〈誡子書〉：「郭象言類懸河，不自勞苦，何由至此？」
枉突徙薪	枉，曲。「枉突徙薪」即「曲突徙薪」。見「曲突徙薪」條。01.《宋書．卷七九．文五王列傳．桂陽王休範》：「桂蠹必除，人邪必翦，枉突徙薪，何勞多力？」
紙貴洛城	猶「洛陽紙貴」。見「洛陽紙貴」條。01.唐．盧照鄰〈雙槿樹賦序〉：「金懸秦市，楊子見而無言；紙貴洛城，陸生聞而罷笑。」
若喪考妣	即「如喪考妣」。見「如喪考妣」條。01.漢．揚雄〈元后誄〉：「享國六十，殂落而崩。四海傷懷，擗踊拊心，若喪考妣，遏密八音。」02.《晉書．卷六二．祖逖列傳》：「俄卒於雍丘，時年五十六。豫州士女若喪考妣，譙梁百姓為之立祠。」
英雄短氣	猶「英雄氣短」。見「英雄氣短」條。01.明．許三階《節俠記》第九齣：「三洲水淺魚難至，五嶺山高雁到稀，生不遇，令英雄短氣。」02.《聊齋志異．卷六．馬介甫》：「祇緣兒女深情，遂使英雄短氣。」03.《孽海花》第二六回：「悠悠之口不諒人，怎能不使英雄短氣！」
青過於藍	即「青出於藍」。見「青出於藍」條。
轉輾反側	「轉輾」同「輾轉」。「轉輾反側」即「輾轉反側」。見「輾轉反側」條。01.明．陸采《懷香記》第八齣：「心上甚是愛他，因此日則憔悴昏沉，夜則轉輾反側。」
拔類超群	猶「出類拔萃」。見「出類拔萃」條。01.元．湯式〈一枝花．麗春園有世情套，梁州〉曲：「恁待要片時間拔類超群，則除是三般兒結果收因。」
抱薪救焚	猶「抱薪救火」。見「抱薪救火」條。01.漢．獻帝〈令州郡罷兵詔〉：「丘牆懼于橫暴，貞良化為群惡，此何異乎抱薪救焚，扇火止沸哉！」
迥乎不同	猶「迥然不同」。見「迥然不同」條。01.《老殘遊記》第一○回：「我們所彈的曲子，一人彈與兩人彈，迥乎不同。」
披古通今	披，翻閱。「披古通今」猶「博古通今」。見「博古通今」條。01.南朝梁．簡文帝〈書案銘〉︰「敬客禮賢，恭思儼束，披古通今，察姦理俗。」
拔萃出群	猶「出類拔萃」。見「出類拔萃」條。01.《後漢書．卷六○下．蔡邕列傳》：「曾不能拔萃出群，揚芳飛文，……連光芒於白日，屬炎氣於景雲。」02.唐．李絳〈請崇國學疏〉：「拔萃出群者，縻之以祿；廢業怠教者，寘之以刑。」
披毛求疵	披，分開。「披毛求疵」猶「吹毛求疵」。見「吹毛求疵」條。01.《舊唐書．卷九○．豆盧欽望列傳．崔元綜》：「雖外示謹厚，而情深刻薄，每受制鞫獄，必披毛求疵，陷於重辟。以此故人多畏而鄙之。」
易於反掌	比反掌更加容易。見「易如反掌」條。
明珠生蚌	比喻優秀的兒子生於傑出的父親。見「老蚌生珠」條。01.《群音類選．官腔類．卷一二．百順記．王曾得子》：「荷皇天寵賜，一子承宗，縱休誇佳兆為熊，尤幸似明珠生蚌！」
朋比作奸	即「朋比為奸」。見「朋比為奸」條。01.《明史．卷二二○．溫純列傳》：「南京給事中陳嘉訓等極論二人陰有所恃，朋比作奸，當亟斥之，而聽純歸，以全大臣之體。」
覓柳尋花	猶「尋花問柳」。見「尋花問柳」條。01.《野叟曝言》第二六回：「這公子名叫連城，頗有才貌，性極慷慨……卻不耐煩這些收租放債事情，惟好煉丹採戰，覓柳尋花。」
物至則反	即「物極必反」。見「物極必反」條。01.漢．劉向《新序．卷九．善謀上》：「臣聞之，物至則反，冬夏是也；致高則危，累棋是也。」
魚游釜底	即「魚遊釜中」。見「魚遊釜中」條。01.清．馬壽齡〈紀張殿臣總戎近事〉詩：「魚游釜底雞在籠，萬箭千刀都在手。」02.清．秋瑾〈普告同胞檄稿〉：「夫魚游釜底，燕處焚巢，旦夕偷生，不自知其頻於危殆，我同胞其何以異是耶？」
狗盜雞鳴	即「雞鳴狗盜」。見「雞鳴狗盜」條。01.宋．陸游〈賀施知院啟〉：「志氣已衰，無復獻狗盜雞鳴之技。」02.《兒女英雄傳》第一七回：「報仇的這樁事，是樁光明磊落見得天地鬼神的事，何須這等狗盜雞鳴，遮遮掩掩。」
狗續貂尾	比喻才德不行，卻蒙提拔至高位。見「狗尾續貂」條。01.清．孔尚任《桃花扇》第二一齣：「隨朝待漏，猶如狗續貂尾。」
舍本問末	猶「捨本逐末」。見「捨本逐末」條。01.《戰國策．齊策四》：「苟無歲，何以有民？苟無民，何以有君？故有問舍本而問末者耶？」
依本畫葫蘆	猶「依樣畫葫蘆」。見「依樣畫葫蘆」條。01.宋．朱熹《朱子語類．卷四二．論語．顏淵篇下》：「仲弓卻只是據見成本子做，只是依本畫葫蘆，都不問著那前一截了。」02.元．王伯成《貶夜郎》第二折：「怕我連真帶草，一剷數黑論黃，寫倣描朱，從頭至尾，依本畫葫蘆。」
知今博古	猶「博古通今」。見「博古通今」條。01.元．趙彥暉〈席上詠妓．萬種妖嬈套．油葫蘆〉曲：「知今博古通三教，鐵石人一見了也魂銷。」
金屋貯嬌	貯，藏。「金屋貯嬌」即「金屋藏嬌」。見「金屋藏嬌」條。01.南朝梁．費昶〈長門怨〉詩：「金屋貯嬌時，不言君不入。」02.《群音類選．卷二三．泰和記．王羲之蘭亭顯才藝》：「寶鼎沉煙臭，繡幕流蘇皺，嗏，金屋貯嬌柔不堪遊，富貴東流。」
炙手而熱	猶「炙手可熱」。見「炙手可熱」條。01.《明史．卷二一○．董傳策列傳》：「嵩（嚴嵩）久握重權，炙手而熱。干進無恥之徒，附羶逐穢，麇集其門。致士風日偷，官箴日喪。」
刻骨鏤心	猶「刻骨銘心」。見「刻骨銘心」條。01.《西遊記》第八七回：「雖刻骨鏤心，難報萬一，怎麼就說走路的話！」
沾沾自足	即「沾沾自喜」。見「沾沾自喜」條。01.宋．呂祖謙《東箂博議．卷一．羽父弒隱公》：「向無隱公之禍迫之，則為義者，立一善，修一行，沾沾自足，怠而不復前矣。」
沽名邀譽	即「沽名釣譽」。見「沽名釣譽」條。01.《清史稿．卷二八九．邁柱列傳》：「國家經制錢糧，豈可意為增減？若此稅不當收，潢當請豁免，何得以公捐代完，沽名邀譽？」
變風改俗	猶「移風易俗」。見「移風易俗」條。01.漢．王符《潛夫論．三式》：「故凡欲變風改俗者，其行賞罰者也，必使足驚心破膽，民乃易視。」
變起蕭牆	即「禍起蕭牆」。見「禍起蕭牆」條。01.漢．陸賈《新語．術事》：「季孫貪顓臾之地，而變起蕭牆之內。」02.明．湯顯祖《南柯記》第四○齣：「他書後明說著，釁生他族，變起蕭牆。」
怙惡不改	即「怙惡不悛」。見「怙惡不悛」條。01.《封神演義》第八二回：「豈得怙惡不改，又率領群仙布此惡陣？」
巷議街談	即「街談巷議」。見「街談巷議」條。01.宋．錢易《南部新書．丙集》：「神龍初，洛水漲。宋務先上疏曰：『巷議街談，共呼坊門為宰相，為節宣風雨，燮調陰陽。』」
草廬三顧	猶「三顧茅廬」。見「三顧茅廬」條。01.《晉書．卷九二．文苑列傳．庾闡》：「夷吾相桓，漢登蕭張；草廬三顧，臭若蘭芳。」02.宋．葉夢得《石林詩話》卷下：「草廬三顧動幽蟄，蕙帳一空生曉寒。」
按兵不舉	猶「按兵不動」。見「按兵不動」條。01.元．無名氏《開詔救忠》第三折：「你將那忠臣良將故贓謀，想著你按兵不舉心更毒。」02.《封神演義》第四回：「西伯侯姬昌好生可惡！今按兵不舉，坐觀成敗。」
赴湯投火	猶「赴湯蹈火」。見「赴湯蹈火」條。01.《三俠五義》第四回：「這有何難？只要你家相公應允，我就是赴湯投火也是情願的。」
指日而待	猶「指日可待」。見「指日可待」條。01.《隋唐演義》第七一回：「皇爺駕臨，特囑夫人蓄髮，便要取你回宮；將來執掌昭陽，可指日而待，為何夫人雙眉反蹙起來？」
鴉雀無聞	猶「鴉雀無聲」。見「鴉雀無聲」條。01.《紅樓夢》第三二回：「卻說寶釵來至王夫人處，只見鴉雀無聞，獨有王夫人在裡間房內坐著垂淚。」02.《鏡花緣》第三七回：「唐敖輕輕道：『舅兄，你看：此處鴉雀無聞，甚覺清靜，大約已到內院了。』」
指桑說槐	即「指桑罵槐」。見「指桑罵槐」條。01.《紅樓夢》第一六回：「咱們家所有的這些管家奶奶們，那一位是好纏的？錯一點兒，他們就笑話打趣；偏一點兒，他們就指桑說槐的抱怨。」
標新取異	猶「標新立異」。見「標新立異」條。01.《隋唐演義》第二八回：「秦妃子既能標新取異，翦綵為花，與湖山增勝，眾美人還只管歌這些舊曲，甚不相宜。」
枯木死灰	猶「槁木死灰」。見「槁木死灰」條。01.《宣和畫譜．卷二．道釋二．辛澄》：「大抵釋氏貌像，多作慈悲相，趺坐即結跏，垂臂則袒肉，目不高視，首不軒舉，淡然如枯木死灰。」02.《兒女英雄傳》第九回：「若說照安公子這等人物……若說他既看得入眼，這心就同枯木死灰，絲毫不動，這心地也就太冷了，更不是情理。」
赴湯跳火	即「赴湯蹈火」。見「赴湯蹈火」條。01.《崇禎本金瓶梅》第八八回：「小夫人說那裡話，若肯在老爺前，抬舉小人一二，便消受不了，雖赴湯跳火，敢說不去？」
相得恨晚	憾恨相遇太晚。「相得恨晚」猶「相知恨晚」。見「相知恨晚」條。01.《聊齋志異．卷一一．黃英》：「二人縱飲甚歡，相得恨晚。」
星眸皓齒	猶「明眸皓齒」。見「明眸皓齒」條。01.元．楊景賢《劉行首》第三折：「捨性命輕拋撇，則戀著星眸皓齒，杏臉鶯舌。」
背生芒刺	好像背上長了芒刺，喻畏忌難安。見「芒刺在背」條。01.《三俠五義》第一一二回：「適才聽智兄之言，覺得背生芒刺，是早些換的好。」
臨深履冰	猶「臨深履薄」。見「臨深履薄」條。01.《三國志．卷四．魏書．三少帝紀．高貴鄉公髦》裴松之注引《帝集》：「以眇眇之身，質性頑固，未能涉道，而遵大路，臨深履冰，涕泗憂懼。」02.晉．葛洪《抱朴子．外篇．君道》：「誠能事過乎儉，臨深履冰，居安不忘乘奔之戒，處存不廢慮亡之懼。」
臨渴穿井	猶「臨渴掘井」。見「臨渴掘井」條。01.宋．張君房《雲笈七籤．卷一一八．張仁表念太一救苦天尊驗》：「即高聲念太一救苦天尊十餘聲，牽頓者皆笑曰：『臨渴穿井，事同噬臍，胡可得也？』」
指鹿作馬	即「指鹿為馬」。見「指鹿為馬」條。01.《三國志．卷一二．魏書．崔毛徐何邢鮑司馬傳．鮑勛》：「詔曰：『勛指鹿作馬，收付廷尉。』」
怨聲盈路	即「怨聲載道」。見「怨聲載道」條。01.《魏書．卷八三．外戚列傳下．高肇》：「肇既當衡軸，每事任己，本無學識，動違禮度，好改先朝舊制，出情妄作，減削封秩，抑黜勳人。由是怨聲盈路矣。」
膽驚心戰	猶「心驚膽戰」。見「心驚膽戰」條。01.明．陸采《懷香記》第二七齣：「可憐平地風波變，天那好苦，霎時間膽驚心戰。」
盈篇累牘	猶「連篇累牘」。見「連篇累牘」條。01.清．李漁〈與沈亮臣書〉：「自來說貧者盈篇累牘，總不出『饑寒』二字。」
信口開喝	猶「信口開河」。見「信口開河」條。
怨聲載路	即「怨聲載道」。見「怨聲載道」條。01.《舊唐書．卷一○一．張廷珪列傳》：「州縣徵輸，星火逼迫，或謀計靡所，或鬻賣以充，怨聲載路，和氣未洽。」
說梅止渴	猶「望梅止渴」。見「望梅止渴」條。
惱羞變怒	即「惱羞成怒」。見「惱羞成怒」條。01.《文明小史》第九回：「傅知府聽了不禁臉上一紅，不由惱羞變怒道：『紳士有好有壞，像你這種──』」02.《官場現形記》第三○回：「冒得官見他如此的說法，不禁惱羞變怒，喝令左右：『替我趕他出去！』」
哀鴻遍地	即「哀鴻遍野」。見「哀鴻遍野」條。01.清．黃侃〈水龍吟．御溝空覓啼紅〉詞：「天涯吟望，哀鴻遍地，都成愁侶！」
逆耳忠言	指聽起來不順耳的忠直言語。見「忠言逆耳」條。01.明．無名氏《四馬投唐．楔子》：「誰想此人不聽某之言，他久後悔之晚矣也。我忠心主意要興兵，逆耳忠言不肯聽。」
逆行倒施	猶「倒行逆施」。見「倒行逆施」條。01.《宋書．卷九五．索虜列傳》引南朝宋．無名氏〈移答魏安南平南府〉：「往年貴主獻書云：『強者為雄。』斯則棄德任力，逆行倒施，有一於此，何以能振？」
前功盡滅	即「前功盡棄」。見「前功盡棄」條。01.《戰國策．西周策》：「今公又以秦兵出塞，過兩周，踐韓而以攻梁，一攻而不得，前功盡滅，公不若稱病不出也。」（源）
前功皆棄	即「前功盡棄」。見「前功盡棄」條。01.《新唐書．卷一八○．李德裕列傳》：「不如少息，若弓撥矢鉤，前功皆棄。」
養虎留患	即「養虎遺患」。見「養虎遺患」條。01.《東周列國志》第五六回：「今其子乃欲見逐，豈非養虎留患耶？」
神機妙用	猶「神機妙算」。見「神機妙算」條。01.《二刻拍案驚奇》卷三九：「只有獄卒心裡明白，伏他神機妙用，受過重賄，再也不敢說破。」
前倨後卑	猶「前倨後恭」。見「前倨後恭」條。01.《戰國策．秦策一》：「蘇秦曰：『嫂何前倨而後卑也？』嫂曰：『以季子之位尊而多金。』」（源）
神術妙法	猶「神機妙算」。見「神機妙算」條。01.元．無名氏《廣成子》第二折：「師父當展神術妙法，可以立國安邦，顯耀英豪也。」
屋下蓋屋	即「屋下架屋」。見「屋下架屋」條。01.宋．邵伯溫《邵氏聞見錄》卷一九：「平生不為訓解之學，嘗曰：『經意自明，苦人不知耳。屋下蓋屋，床下安床，滋惑矣。』所謂陳言，生活者也。」02.宋．黃庭堅〈拙軒頌〉：「何況頭上安頭，屋下蓋屋，畢竟巧者有餘，拙者不足。」
神謀妙策	即「神機妙算」。見「神機妙算」條。01.明．張鳳翼《紅拂記》第三三齣：「元帥神謀妙策，周悉無道。」
神術妙策	猶「神機妙算」。見「神機妙算」條。01.元．無名氏《黃眉翁》第三折：「老仙長，你那延壽的神術妙策，說與小官聽者。」
神機妙術	即「神機妙算」。見「神機妙算」條。01.《封神演義》第五八回：「楊戩神機妙術奇，呂岳空自費心機。」
眉歡眼笑	猶「眉開眼笑」。見「眉開眼笑」條。01.《玉嬌梨》第七回：「張軌如看了是真，喜得眉歡眼笑，即忙叫家人去備飯。」02.《金瓶梅》第三三回：「到次日，與了潘姥姥一件蔥白綾襖兒，兩雙緞子鞋面，二百文錢。把婆子歡喜的眉歡眼笑，過這邊來，拿與金蓮瞧。」
矜矜業業	即「兢兢業業」。見「兢兢業業」條。01.《後漢書．卷五二．崔駰列傳》：「遠察近覽，俯仰有則，銘諸几杖，刻諸盤杅。矜矜業業，無殆無荒。」02.《三國志．卷二七．魏書．徐胡二王傳．王基》：「天下至廣，萬機至猥，誠不可不矜矜業業，坐而待旦也。」
柔懦寡斷	猶「優柔寡斷」。見「優柔寡斷」條。01.宋．釋文瑩《玉壺清話》卷二：「後嗣主愛其博雅，累用之，然而柔懦寡斷，惟好釋氏。」
退徙三舍	猶「退避三舍」。見「退避三舍」條。01.漢．王充《論衡．變虛》：「夫三惡言不能使熒惑守心，三善言安能使熒惑退徙三舍？」
洞如觀火	即「洞若觀火」。見「洞若觀火」條。01.清．劉獻廷《廣陽雜記》卷二：「梁質人留心邊事已久……故得悉其山川險要部落游牧，暨其強弱多寡離合之情，皆洞如觀火矣。」02.《清史稿．卷三八六．文慶等列傳》：「論曰：『……晚年密陳大計，於數十年馭外得失，洞如觀火，一代興亡之龜鑑也。』」
秦庭朗鏡	猶「明鏡高懸」。見「明鏡高懸」條。01.《初刻拍案驚奇》卷一一：「負屈寒儒，得遇秦庭朗鏡；行凶詭計，難逃蕭相明條。」
泰來否往	猶「否極泰來」。見「否極泰來」條。01.元．宮大用《范張雞黍》第四折：「人都道我暮景桑榆，合有些崢嶸氣象。可正是樂極生悲，今日個泰來否往。」
捕風弄月	猶「捕風捉影」。見「捕風捉影」條。01.《隋唐演義》第一二回：「響馬得財漏網，瘟太守麵糊盆，不知苦辣，倒著落在我身上，要捕風弄月，教我那裡去追尋？」
捕影拿風	猶「捕風捉影」。見「捕風捉影」條。01.元．吳昌齡《東坡夢》第三折：「只待要靜巉巉幕天席地，笑吟吟倚翠偎紅。怎知道被禪師神挑鬼弄，做一場捕影拿風。」
惡稔禍盈	稔，成熟。「惡稔禍盈」猶「惡貫滿盈」。見「惡貫滿盈」條。01.《周書．卷六．武帝紀下》：「偽齊違信背約，惡稔禍盈，是以親總六師，問罪汾、晉。」
惡稔罪盈	稔，成熟。「惡稔罪盈」猶「惡貫滿盈」。見「惡貫滿盈」條。01.《唐語林．卷五．補遺》：「主辱臣死，當臣致命之時，惡稔罪盈，是賊滅亡之日。」
惡稔貫盈	稔，成熟。「惡稔貫盈」猶「惡貫滿盈」。見「惡貫滿盈」條。01.《梁書．卷五六．侯景列傳》：「而惡稔貫盈，元凶殞斃，弟洋繼逆，續長亂階。」
損本逐末	猶「捨本逐末」。見「捨本逐末」條。01.《隋書．卷六六．李諤列傳》：「故文筆日繁，其政日亂，良由棄大聖之軌模，構無用以為用也。損本逐末，流遍華壤，遞相師祖，久而愈扇。」
恐後爭先	即「爭先恐後」。見「爭先恐後」條。01.《二十年目睹之怪現狀》第六八回：「況且他跑的又一點沒有規矩，不似上海只靠左邊走，便沒有碰撞之虞；他卻橫衝直撞，恐後爭先。」
珠沉滄海	猶「滄海遺珠」。見「滄海遺珠」條。01.明．無名氏《運甓記》第七齣：「二位，你壁豎風裁，蓋世真儒臥草來。分明是珠沈（沉）滄海、玉韞荊山、劍穢黃埃。」
莫逆之友	猶「莫逆之交」。見「莫逆之交」條。01.《周書．卷三七．張軌列傳》：「軌少好學，志識開朗，初在洛陽，家貧，與樂安孫樹仁為莫逆之友。」
殊致同歸	致，施行、執行。「殊致同歸」猶「殊途同歸」。見「殊途同歸」條。01.《隋書．卷二二．五行志上》：「夫神則陰陽不測，天則欲人遷善。均乎影響，殊致同歸。」
莫逆之契	猶「莫逆之交」。見「莫逆之交」條。01.《晉書．卷九一．儒林列傳．范弘之》：「殷侯忠貞居正，心貫人神，加與先帝隆布衣之好，著莫逆之契。」
殊方同致	猶「殊途同歸」。見「殊途同歸」條。01.《隋書．卷七五．儒林列傳序》：「考其終始，要其會歸，其立身成名，殊方同致矣。」
莫措手足	猶「手足無措」。見「手足無措」條。01.《明史．卷一八六．楊守隨列傳》：「天下嗷嗷，莫措手足，致古今罕見之災，交集數月以內。」
破鏡重合	猶「破鏡重圓」。見「破鏡重圓」條。
逢場作樂	猶「逢場作戲」。見「逢場作戲」條。01.明．沈受先《三元記》第一齣：「對酒當歌須慷慨，逢場作樂任優游。」
倒屣而迎	即「倒屣相迎」。見「倒屣相迎」條。01.宋．孫光憲《北夢瑣言》卷五：「唐進士曹唐《遊仙詩》，才情縹緲。岳陽李遠員外，每吟其詩而思其人。一日，曹往謁之，李倒屣而迎。」02.《市聲》第三三回：「這樣的粗人，肚裡哪有什麼道理？料想談不合式的。我倒為他起了個早，倒屣而迎，真不上算。」
倒屣迎賓	猶「倒屣相迎」。見「倒屣相迎」條。01.唐．楊炯〈唐恆州刺史建昌公王公神道碑〉：「金友玉昆，良田廣宅，而能吐食下士，倒屣迎賓。」02.《幼學瓊林．卷二．朋友賓主類》：「蔡邕倒屣以迎賓，周公握髮而待士。」
倒屐相迎	即「倒屣相迎」。見「倒屣相迎」條。01.宋．李劉《梅亭先生四六標準．卷三二．州官．同權僉判李司法》：「某強顏秉障，束手面□，倒屐相迎，何幸一賢之入幕；同舟共濟，庶無百姓之填溝。」
透古通今	猶「博古通今」。見「博古通今」條。01.金．王吉昌〈行香子．木性慈仁〉詞：「杳冥時，蹤跡難尋。無中顯有，透古通今。」
鐵打心腸	猶「鐵石心腸」。見「鐵石心腸」條。01.明．無名氏《四賢記》第三二齣：「若提十五年前事，鐵打心腸也軟些。」02.《永樂大典戲文三種．錯立身．第九齣》：「望斷天涯無故人，便做鐵打心腸珠淚傾。」
剖肝瀝膽	猶「披肝瀝膽」。見「披肝瀝膽」條。01.宋．司馬光〈與范景仁書〉：「是以剖肝瀝膽，手書緘封而進之。」02.清．鈕琇《觚賸．卷八．舒氏義烈》：「為國棟者，自宜剖肝瀝膽，力白其誣。」
益無忌憚	更加地無所忌憚。見「肆無忌憚」條。01.宋．朱熹〈壬午應詔封事〉：「適所以使之窺見我之底蘊，知我之無謀，而益無忌憚耳。」02.《東周列國志》第五回：「州吁益無忌憚，日夜與石厚商量篡奪之計。」
冤家路狹	即「冤家路窄」。見「冤家路窄」條。01.《紅樓夢》第一○○回：「不想命該如此，偏偏娶的嫂子又是一個不安靜的，所以哥哥躲出門的。真正俗語說的『冤家路兒狹』。不多幾天就鬧出人命來了。」
病染膏肓	猶「病入膏肓」。見「病入膏肓」條。01.元．范居中〈金殿喜重重．風雨秋堂套．賺〉：「真個崔張不讓，命該彫喪，險些病染膏肓，此言非妄。」
疾聲大呼	即「大聲疾呼」。見「大聲疾呼」條。01.《宋史．卷四○一．辛棄疾列傳》：「有疾聲大呼于堂上，若鳴其不平，自昏暮至三鼓不絕聲。」
塗炭生民	猶「生靈塗炭」。見「生靈塗炭」條。01.明．沈采《千金記》第二六齣：「狂秦暴虐，塗炭生民，毒起干戈，雲遶寰宇。」
流汗浹背	猶「汗流浹背」。見「汗流浹背」條。01.《新五代史．卷五四．雜傳．司空頲》：「張彥之亂，命判官王正言草奏詆斥梁君臣，正言素不能文辭，又為兵刃所迫，流汗浹背，不能下筆。」02.《警世通言．卷二五．桂員外途窮懺悔》：「猛然驚醒，流汗浹背，乃是一夢，身子卻在寓所，天已大明了。」
流芳萬古	即「流芳百世」。見「流芳百世」條。01.北齊．無名氏〈鄉老舉孝義雋脩羅碑〉：「鐫石壹朝，千代美哉。流芳萬古，跡絕當今。」
高枕不虞	虞，憂慮。「高枕無虞」即「高枕無憂」。見「高枕無憂」條。01.唐．韓愈〈與鳳翔邢尚書書〉：「戎狄棄甲而遠遁，朝廷高枕而不虞。」
高枕安臥	猶「高枕無憂」。見「高枕無憂」條。01.漢．王充《論衡．順鼓》：「久雨不霽，試使人君高枕安臥，雨猶自止。止久，至於大旱，試使人君高枕安臥，旱猶自雨。」
高節清風	猶「高風亮節」。見「高風亮節」條。01.清．孔尚任《桃花扇》第一齣：「正排著低品走狗奴才隊，都做了高節清風大英雄！」
勒馬懸崖	猶「懸崖勒馬」。見「懸崖勒馬」條。01.清．紀昀《閱微草堂筆記．卷一六．姑妄聽之二》：「偶差一念，魔障遂生。幸道力原深，故忽迷忽悟，能勒馬懸崖耳。」
